I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
50,Medium,0.04,7,339.824,6.796480000000002,352.73333333333335,7.054666666666667,127.824,2.55648,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.04,8,348.18666666666667,6.963733333333334,352.73333333333335,7.054666666666667,136.18666666666672,2.7237333333333344,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.05,3,289.4800000000001,5.789599999999999,352.73333333333335,7.054666666666667,77.48000000000002,1.5496,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.05,4,323.26666666666665,6.465333333333335,352.73333333333335,7.054666666666667,111.26666666666668,2.2253333333333334,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.05,5,347.7266666666667,6.954533333333333,352.73333333333335,7.054666666666667,135.72666666666663,2.7145333333333332,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.05,6,363.60999999999996,7.2722000000000016,352.73333333333335,7.054666666666667,151.60999999999999,3.032199999999999,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.05,7,371.78,7.4356,352.73333333333335,7.054666666666667,159.78000000000006,3.1956,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.05,8,382.2333333333334,7.644666666666667,352.73333333333335,7.054666666666667,170.23333333333338,3.404666666666667,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.06,3,304.97600000000006,6.099519999999999,352.73333333333335,7.054666666666667,92.97600000000003,1.8595200000000003,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.06,4,345.5200000000001,6.9104,352.73333333333335,7.054666666666667,133.52,2.6704,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.06,5,374.8720000000001,7.497440000000001,352.73333333333335,7.054666666666667,162.8720000000001,3.2574400000000017,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.06,6,393.93199999999996,7.87864,352.73333333333335,7.054666666666667,181.93199999999996,3.638639999999999,0.20008,-0.37857,-0.20725,211.0
